run,query_name,attribute,swap_type,swap_index,log_prob
0,e0,a0,entity,0,-8.539961814880371
0,e0,a1,entity,0,-13.455955505371094
0,e0,a0',entity,0,-14.13869857788086
0,e0,a1',entity,0,-18.31298065185547
0,e0,a0,entity,1,-8.850381851196289
0,e0,a1,entity,1,-13.841965675354004
0,e0,a0',entity,1,-14.463418960571289
0,e0,a1',entity,1,-18.757959365844727
0,e0,a0,attribute,0,-8.629960060119629
0,e0,a1,attribute,0,-12.631963729858398
0,e0,a0',attribute,0,-13.02478313446045
0,e0,a1',attribute,0,-17.596302032470703
0,e0,a0,attribute,1,-9.152481079101562
0,e0,a1,attribute,1,-14.099803924560547
0,e0,a0',attribute,1,-14.402477264404297
0,e0,a1',attribute,1,-18.142335891723633
0,e1,a0,entity,0,-14.276073455810547
0,e1,a1,entity,0,-7.942474842071533
0,e1,a0',entity,0,-13.52609920501709
0,e1,a1',entity,0,-16.489763259887695
0,e1,a0,entity,1,-14.153868675231934
0,e1,a1,entity,1,-7.670180797576904
0,e1,a0',entity,1,-13.316739082336426
0,e1,a1',entity,1,-16.48142433166504
0,e1,a0,attribute,0,-14.544730186462402
0,e1,a1,attribute,0,-7.823881149291992
0,e1,a0',attribute,0,-13.398526191711426
0,e1,a1',attribute,0,-16.594682693481445
0,e1,a0,attribute,1,-13.854741096496582
0,e1,a1,attribute,1,-7.88082218170166
0,e1,a0',attribute,1,-13.168899536132812
0,e1,a1',attribute,1,-15.29029369354248
0,e0',a0,entity,0,-12.201786041259766
0,e0',a1,entity,0,-9.644535064697266
0,e0',a0',entity,0,-13.018176078796387
0,e0',a1',entity,0,-15.037808418273926
0,e0',a0,entity,1,-12.660063743591309
0,e0',a1,entity,1,-9.79236888885498
0,e0',a0',entity,1,-13.318521499633789
0,e0',a1',entity,1,-15.053628921508789
0,e0',a0,attribute,0,-12.904967308044434
0,e0',a1,attribute,0,-9.761093139648438
0,e0',a0',attribute,0,-12.684544563293457
0,e0',a1',attribute,0,-15.1339750289917
0,e0',a0,attribute,1,-12.304012298583984
0,e0',a1,attribute,1,-9.918614387512207
0,e0',a0',attribute,1,-13.159562110900879
0,e0',a1',attribute,1,-13.939410209655762
0,e1',a0,entity,0,-12.670341491699219
0,e1',a1,entity,0,-10.390755653381348
0,e1',a0',entity,0,-13.235169410705566
0,e1',a1',entity,0,-15.516583442687988
0,e1',a0,entity,1,-13.547210693359375
0,e1',a1,entity,1,-10.682781219482422
0,e1',a0',entity,1,-14.12894058227539
0,e1',a1',entity,1,-16.04450035095215
0,e1',a0,attribute,0,-13.51689338684082
0,e1',a1,attribute,0,-10.343395233154297
0,e1',a0',attribute,0,-13.033539772033691
0,e1',a1',attribute,0,-15.721718788146973
0,e1',a0,attribute,1,-12.734016418457031
0,e1',a1,attribute,1,-10.462638854980469
0,e1',a0',attribute,1,-13.343070983886719
0,e1',a1',attribute,1,-14.649860382080078
1,e0,a0,entity,0,-8.995223999023438
1,e0,a1,entity,0,-15.067458152770996
1,e0,a0',entity,0,-14.126872062683105
1,e0,a1',entity,0,-12.752650260925293
1,e0,a0,entity,1,-8.723865509033203
1,e0,a1,entity,1,-16.07206153869629
1,e0,a0',entity,1,-14.605138778686523
1,e0,a1',entity,1,-13.083518981933594
1,e0,a0,attribute,0,-10.567693710327148
1,e0,a1,attribute,0,-14.606014251708984
1,e0,a0',attribute,0,-13.424623489379883
1,e0,a1',attribute,0,-12.512662887573242
1,e0,a0,attribute,1,-8.784859657287598
1,e0,a1,attribute,1,-16.886987686157227
1,e0,a0',attribute,1,-14.761192321777344
1,e0,a1',attribute,1,-12.529607772827148
1,e1,a0,entity,0,-16.682331085205078
1,e1,a1,entity,0,-7.386902332305908
