run_id,condition,query_entity_idx,max_logprob_token,max_logprob,a1_token,a1_logprob,a2_token,a2_logprob,correct_answer
0,control,0, Brazil,-0.8682799935340881,B,-12.667478561401367,Be,-13.08193588256836,a1
0,attribute,0, this,-2.3097527027130127,B,-11.155333518981934,Be,-11.11023235321045,a1
0,entity,0, my,-1.9445364475250244,B,-10.831914901733398,Be,-13.185342788696289,a1
0,both,0, my,-1.9445364475250244,B,-10.831914901733398,Be,-13.185342788696289,a1
0,control,1, China,-1.1910827159881592,B,-13.009586334228516,Be,-12.304081916809082,a2
0,attribute,1, this,-3.072434425354004,B,-10.666374206542969,Be,-10.333982467651367,a2
0,entity,1, B,-2.406830310821533,B,-9.50424575805664,Be,-12.399452209472656,a2
0,both,1, B,-2.406830310821533,B,-9.50424575805664,Be,-12.399452209472656,a2
1,control,0, Tokyo,-1.4106327295303345,Tok,-10.262012481689453,B,-12.949705123901367,a1
1,attribute,0,:,-3.565021514892578,Tok,-15.247637748718262,B,-10.794342994689941,a1
1,entity,0, I,-1.733717441558838,Tok,-16.682920455932617,B,-11.888460159301758,a1
1,both,0, I,-1.733717441558838,Tok,-16.682920455932617,B,-11.888460159301758,a1
1,control,1, Brazil,-1.2150061130523682,Tok,-11.680243492126465,B,-12.16786003112793,a2
1,attribute,1,:,-2.9096174240112305,Tok,-16.210113525390625,B,-11.617659568786621,a2
1,entity,1, I,-1.6406480073928833,Tok,-16.971426010131836,B,-10.66237735748291,a2
1,both,1, I,-1.6406480073928833,Tok,-16.971426010131836,B,-10.66237735748291,a2
2,control,0, Canada,-0.8556199669837952,Ot,-14.12915325164795,Jer,-14.359124183654785,a1
2,attribute,0,:,-2.132458448410034,Ot,-17.045076370239258,Jer,-13.225991249084473,a1
2,entity,0, my,-2.2173044681549072,Ot,-13.186647415161133,Jer,-12.002209663391113,a1
2,both,0, my,-2.2173044681549072,Ot,-13.186647415161133,Jer,-12.002209663391113,a1
2,control,1, Israel,-0.6523281931877136,Ot,-15.237937927246094,Jer,-11.99927806854248,a2
2,attribute,1,:,-1.8567461967468262,Ot,-17.928138732910156,Jer,-12.518430709838867,a2
2,entity,1, E,-3.053415060043335,Ot,-14.237469673156738,Jer,-11.977914810180664,a2
2,both,1, E,-3.053415060043335,Ot,-14.237469673156738,Jer,-11.977914810180664,a2
