run,query_name,attribute,swap_type,swap_index,log_prob
0,e0,a0,entity,0,-0.026566894724965096
0,e0,a1,entity,0,-15.923559188842773
0,e0,a0',entity,0,-14.07102108001709
0,e0,a1',entity,0,-16.938871383666992
0,e0,a0,entity,1,-0.019695313647389412
0,e0,a1,entity,1,-17.17180061340332
0,e0,a0',entity,1,-14.895267486572266
0,e0,a1',entity,1,-18.279502868652344
0,e0,a0,attribute,0,-0.10710280388593674
0,e0,a1,attribute,0,-14.90406322479248
0,e0,a0',attribute,0,-10.674386978149414
0,e0,a1',attribute,0,-15.708464622497559
0,e0,a0,attribute,1,-0.014870980754494667
0,e0,a1,attribute,1,-18.69858169555664
0,e0,a0',attribute,1,-15.090880393981934
0,e0,a1',attribute,1,-16.34716796875
0,e1,a0,entity,0,-12.884491920471191
0,e1,a1,entity,0,-1.570754051208496
0,e1,a0',entity,0,-14.311434745788574
0,e1,a1',entity,0,-13.218552589416504
0,e1,a0,entity,1,-9.775410652160645
0,e1,a1,entity,1,-0.23642922937870026
0,e1,a0',entity,1,-11.888162612915039
0,e1,a1',entity,1,-11.171801567077637
0,e1,a0,attribute,0,-14.331412315368652
0,e1,a1,attribute,0,-1.7751246690750122
0,e1,a0',attribute,0,-14.57496166229248
0,e1,a1',attribute,0,-13.34032917022705
0,e1,a0,attribute,1,-8.512195587158203
0,e1,a1,attribute,1,-1.0024998188018799
0,e1,a0',attribute,1,-11.206490516662598
0,e1,a1',attribute,1,-5.656650543212891
0,e0',a0,entity,0,-5.41442346572876
0,e0',a1,entity,0,-2.778229236602783
0,e0',a0',entity,0,-9.864272117614746
0,e0',a1',entity,0,-9.66200065612793
0,e0',a0,entity,1,-3.462357521057129
0,e0',a1,entity,1,-0.5368013381958008
0,e0',a0',entity,1,-8.610224723815918
0,e0',a1',entity,1,-7.965841293334961
0,e0',a0,attribute,0,-5.828097343444824
0,e0',a1,attribute,0,-0.859994113445282
0,e0',a0',attribute,0,-8.166271209716797
0,e0',a1',attribute,0,-7.998620986938477
0,e0',a0,attribute,1,-4.020525932312012
0,e0',a1,attribute,1,-3.9323441982269287
0,e0',a0',attribute,1,-9.218250274658203
0,e0',a1',attribute,1,-5.906632423400879
0,e1',a0,entity,0,-1.7119245529174805
0,e1',a1,entity,0,-2.592376708984375
0,e1',a0',entity,0,-7.383913040161133
0,e1',a1',entity,0,-9.230710983276367
0,e1',a0,entity,1,-2.3618922233581543
0,e1',a1,entity,1,-1.6154829263687134
0,e1',a0',entity,1,-8.704229354858398
0,e1',a1',entity,1,-10.166378021240234
0,e1',a0,attribute,0,-3.5654337406158447
0,e1',a1,attribute,0,-2.4425575733184814
