run,query_name,attribute,swap_type,swap_index,log_prob
0,e0,a0,entity,0,-0.5139846205711365
0,e0,a1,entity,0,-4.510672569274902
0,e0,a0',entity,0,-11.318458557128906
0,e0,a1',entity,0,-11.566621780395508
0,e0,a0,entity,1,-0.24498896300792694
0,e0,a1,entity,1,-5.208297252655029
0,e0,a0',entity,1,-12.192724227905273
0,e0,a1',entity,1,-12.10478687286377
0,e0,a0,attribute,0,-5.153848171234131
0,e0,a1,attribute,0,-4.4043707847595215
0,e0,a0',attribute,0,-6.2763590812683105
0,e0,a1',attribute,0,-9.60678768157959
0,e0,a0,attribute,1,-0.42634719610214233
0,e0,a1,attribute,1,-8.190564155578613
0,e0,a0',attribute,1,-11.355792045593262
0,e0,a1',attribute,1,-7.490053653717041
0,e1,a0,entity,0,-3.3379952907562256
0,e1,a1,entity,0,-0.824505627155304
0,e1,a0',entity,0,-11.291029930114746
0,e1,a1',entity,0,-11.56740665435791
0,e1,a0,entity,1,-1.7402055263519287
0,e1,a1,entity,1,-1.3342950344085693
0,e1,a0',entity,1,-11.35008430480957
0,e1,a1',entity,1,-11.241971015930176
0,e1,a0,attribute,0,-6.891872882843018
0,e1,a1,attribute,0,-0.888058066368103
0,e1,a0',attribute,0,-8.782609939575195
0,e1,a1',attribute,0,-10.593687057495117
0,e1,a0,attribute,1,-1.5056346654891968
0,e1,a1,attribute,1,-4.090587139129639
0,e1,a0',attribute,1,-10.096353530883789
0,e1,a1',attribute,1,-5.9250617027282715
0,e0',a0,entity,0,-1.5578135251998901
0,e0',a1,entity,0,-3.670186996459961
0,e0',a0',entity,0,-8.52474308013916
0,e0',a1',entity,0,-9.476788520812988
0,e0',a0,entity,1,-1.5597038269042969
0,e0',a1,entity,1,-3.8759193420410156
0,e0',a0',entity,1,-8.79252815246582
0,e0',a1',entity,1,-9.601619720458984
0,e0',a0,attribute,0,-4.651712894439697
0,e0',a1,attribute,0,-3.6437315940856934
0,e0',a0',attribute,0,-4.967487812042236
0,e0',a1',attribute,0,-8.39152717590332
0,e0',a0,attribute,1,-2.1872546672821045
0,e0',a1,attribute,1,-6.245800018310547
0,e0',a0',attribute,1,-8.31411075592041
0,e0',a1',attribute,1,-5.932435989379883
0,e1',a0,entity,0,-1.9344428777694702
0,e1',a1,entity,0,-3.1245760917663574
0,e1',a0',entity,0,-8.895821571350098
0,e1',a1',entity,0,-9.526982307434082
0,e1',a0,entity,1,-1.7499703168869019
0,e1',a1,entity,1,-2.9762954711914062
0,e1',a0',entity,1,-9.582327842712402
0,e1',a1',entity,1,-10.024620056152344
0,e1',a0,attribute,0,-5.162339210510254
0,e1',a1,attribute,0,-3.21565318107605
0,e1',a0',attribute,0,-4.812135696411133
0,e1',a1',attribute,0,-8.367497444152832
0,e1',a0,attribute,1,-1.4938405752182007
0,e1',a1,attribute,1,-6.026811122894287
0,e1',a0',attribute,1,-8.688041687011719
0,e1',a1',attribute,1,-5.601836681365967
1,e0,a0,entity,0,-1.3859747648239136
1,e0,a1,entity,0,-2.789677619934082
1,e0,a0',entity,0,-9.247434616088867
1,e0,a1',entity,0,-14.222674369812012
1,e0,a0,entity,1,-1.0895287990570068
1,e0,a1,entity,1,-3.0881965160369873
1,e0,a0',entity,1,-9.435686111450195
1,e0,a1',entity,1,-14.067654609680176
1,e0,a0,attribute,0,-2.994633436203003
1,e0,a1,attribute,0,-2.402269124984741
1,e0,a0',attribute,0,-3.590355634689331
1,e0,a1',attribute,0,-12.975932121276855
1,e0,a0,attribute,1,-0.9532464742660522
1,e0,a1,attribute,1,-4.059850215911865
1,e0,a0',attribute,1,-9.082140922546387
1,e0,a1',attribute,1,-10.404587745666504
1,e1,a0,entity,0,-5.5126953125
1,e1,a1,entity,0,-0.574233889579773
1,e1,a0',entity,0,-10.228715896606445
1,e1,a1',entity,0,-14.164461135864258
1,e1,a0,entity,1,-5.466550350189209
1,e1,a1,entity,1,-0.3851162791252136
1,e1,a0',entity,1,-10.518243789672852
1,e1,a1',entity,1,-14.208368301391602
1,e1,a0,attribute,0,-7.484310626983643
1,e1,a1,attribute,0,-0.4739604890346527
1,e1,a0',attribute,0,-7.612210750579834
1,e1,a1',attribute,0,-14.088826179504395
1,e1,a0,attribute,1,-5.265305995941162
1,e1,a1,attribute,1,-0.7984442114830017
1,e1,a0',attribute,1,-9.589850425720215
1,e1,a1',attribute,1,-9.270682334899902
1,e0',a0,entity,0,-2.3474326133728027
1,e0',a1,entity,0,-2.1130471229553223
1,e0',a0',entity,0,-6.3216166496276855
1,e0',a1',entity,0,-9.275853157043457
1,e0',a0,entity,1,-3.024466037750244
1,e0',a1,entity,1,-1.7743258476257324
1,e0',a0',entity,1,-6.461254596710205
1,e0',a1',entity,1,-9.55003833770752
1,e0',a0,attribute,0,-5.304684638977051
1,e0',a1,attribute,0,-1.486083984375
1,e0',a0',attribute,0,-3.0864133834838867
1,e0',a1',attribute,0,-9.086248397827148
1,e0',a0,attribute,1,-2.81204891204834
1,e0',a1,attribute,1,-2.562681198120117
1,e0',a0',attribute,1,-6.149382591247559
1,e0',a1',attribute,1,-6.189730644226074
1,e1',a0,entity,0,-3.588528871536255
1,e1',a1,entity,0,-1.879420518875122
1,e1',a0',entity,0,-6.825121879577637
1,e1',a1',entity,0,-9.55924129486084
1,e1',a0,entity,1,-3.6482949256896973
1,e1',a1,entity,1,-1.99489164352417
1,e1',a0',entity,1,-6.785023212432861
1,e1',a1',entity,1,-9.90660285949707
1,e1',a0,attribute,0,-5.47408390045166
1,e1',a1,attribute,0,-1.5319880247116089
1,e1',a0',attribute,0,-3.494114875793457
1,e1',a1',attribute,0,-9.130126953125
1,e1',a0,attribute,1,-3.1681251525878906
1,e1',a1,attribute,1,-2.670299530029297
1,e1',a0',attribute,1,-6.532070159912109
1,e1',a1',attribute,1,-6.479731559753418
2,e0,a0,entity,0,-0.7259309887886047
2,e0,a1,entity,0,-9.705060005187988
2,e0,a0',entity,0,-7.9070844650268555
2,e0,a1',entity,0,-6.932743072509766
2,e0,a0,entity,1,-0.2745848596096039
2,e0,a1,entity,1,-11.134825706481934
2,e0,a0',entity,1,-8.379617691040039
2,e0,a1',entity,1,-7.145357131958008
2,e0,a0,attribute,0,-3.535290002822876
2,e0,a1,attribute,0,-9.695887565612793
2,e0,a0',attribute,0,-2.2447779178619385
2,e0,a1',attribute,0,-6.196499824523926
2,e0,a0,attribute,1,-0.05286489427089691
2,e0,a1,attribute,1,-13.914717674255371
2,e0,a0',attribute,1,-11.092140197753906
2,e0,a1',attribute,1,-5.963004112243652
2,e1,a0,entity,0,-6.362831115722656
2,e1,a1,entity,0,-1.9654362201690674
2,e1,a0',entity,0,-7.75883674621582
2,e1,a1',entity,0,-9.480508804321289
2,e1,a0,entity,1,-4.244668483734131
2,e1,a1,entity,1,-2.231868267059326
2,e1,a0',entity,1,-7.023284435272217
2,e1,a1',entity,1,-8.984691619873047
2,e1,a0,attribute,0,-9.216134071350098
2,e1,a1,attribute,0,-2.0367050170898438
2,e1,a0',attribute,0,-4.563515663146973
2,e1,a1',attribute,0,-9.672730445861816
2,e1,a0,attribute,1,-2.1423070430755615
2,e1,a1,attribute,1,-2.791869878768921
2,e1,a0',attribute,1,-6.691896438598633
2,e1,a1',attribute,1,-4.58135986328125
2,e0',a0,entity,0,-2.038867950439453
2,e0',a1,entity,0,-6.733458518981934
2,e0',a0',entity,0,-7.568241119384766
2,e0',a1',entity,0,-5.340503692626953
2,e0',a0,entity,1,-2.3992865085601807
2,e0',a1,entity,1,-6.715275764465332
2,e0',a0',entity,1,-7.221341133117676
2,e0',a1',entity,1,-5.330130577087402
2,e0',a0,attribute,0,-5.0253005027771
2,e0',a1,attribute,0,-6.513704776763916
2,e0',a0',attribute,0,-4.655966281890869
2,e0',a1',attribute,0,-5.556771755218506
2,e0',a0,attribute,1,-0.7603727579116821
2,e0',a1,attribute,1,-9.014220237731934
2,e0',a0',attribute,1,-8.306818962097168
2,e0',a1',attribute,1,-3.2441163063049316
2,e1',a0,entity,0,-2.2371749877929688
2,e1',a1,entity,0,-6.680257797241211
2,e1',a0',entity,0,-7.767163276672363
2,e1',a1',entity,0,-5.5965375900268555
2,e1',a0,entity,1,-2.4790635108947754
2,e1',a1,entity,1,-6.625189304351807
2,e1',a0',entity,1,-7.775484561920166
2,e1',a1',entity,1,-5.862417697906494
2,e1',a0,attribute,0,-5.0712785720825195
2,e1',a1,attribute,0,-6.657122611999512
2,e1',a0',attribute,0,-4.594452857971191
2,e1',a1',attribute,0,-5.658856391906738
2,e1',a0,attribute,1,-0.6337202191352844
2,e1',a1,attribute,1,-9.306784629821777
2,e1',a0',attribute,1,-8.633268356323242
2,e1',a1',attribute,1,-3.2976462841033936
3,e0,a0,entity,0,-0.622365415096283
3,e0,a1,entity,0,-5.839354991912842
3,e0,a0',entity,0,-10.5167236328125
3,e0,a1',entity,0,-10.0904541015625
3,e0,a0,entity,1,-0.730409562587738
3,e0,a1,entity,1,-5.690603256225586
3,e0,a0',entity,1,-10.394208908081055
3,e0,a1',entity,1,-10.336906433105469
3,e0,a0,attribute,0,-1.5443984270095825
3,e0,a1,attribute,0,-5.492576599121094
3,e0,a0',attribute,0,-4.041604995727539
3,e0,a1',attribute,0,-8.905563354492188
3,e0,a0,attribute,1,-0.6235668063163757
3,e0,a1,attribute,1,-7.201557159423828
3,e0,a0',attribute,1,-10.7276029586792
3,e0,a1',attribute,1,-9.446834564208984
3,e1,a0,entity,0,-8.52883243560791
3,e1,a1,entity,0,-0.4876954257488251
3,e1,a0',entity,0,-12.363985061645508
3,e1,a1',entity,0,-7.91399621963501
3,e1,a0,entity,1,-8.575669288635254
3,e1,a1,entity,1,-0.6145907640457153
3,e1,a0',entity,1,-11.688786506652832
3,e1,a1',entity,1,-7.929827690124512
3,e1,a0,attribute,0,-8.849297523498535
3,e1,a1,attribute,0,-0.683063805103302
3,e1,a0',attribute,0,-8.586353302001953
3,e1,a1',attribute,0,-7.460134029388428
3,e1,a0,attribute,1,-7.866358280181885
3,e1,a1,attribute,1,-1.5698723793029785
3,e1,a0',attribute,1,-11.614255905151367
3,e1,a1',attribute,1,-5.890844821929932
3,e0',a0,entity,0,-3.5102927684783936
3,e0',a1,entity,0,-3.7046916484832764
3,e0',a0',entity,0,-8.141074180603027
3,e0',a1',entity,0,-7.902600288391113
3,e0',a0,entity,1,-3.974635124206543
3,e0',a1,entity,1,-3.7825927734375
3,e0',a0',entity,1,-7.956819534301758
3,e0',a1',entity,1,-8.124637603759766
3,e0',a0,attribute,0,-4.530123233795166
3,e0',a1,attribute,0,-3.917048931121826
3,e0',a0',attribute,0,-2.914337635040283
3,e0',a1',attribute,0,-7.56885290145874
3,e0',a0,attribute,1,-3.2810707092285156
3,e0',a1,attribute,1,-5.115588188171387
3,e0',a0',attribute,1,-8.098950386047363
3,e0',a1',attribute,1,-6.39437198638916
3,e1',a0,entity,0,-3.986069917678833
3,e1',a1,entity,0,-3.731691598892212
3,e1',a0',entity,0,-7.47288703918457
3,e1',a1',entity,0,-7.160182952880859
3,e1',a0,entity,1,-4.477937698364258
3,e1',a1,entity,1,-3.5642850399017334
3,e1',a0',entity,1,-7.532174110412598
3,e1',a1',entity,1,-7.6728973388671875
3,e1',a0,attribute,0,-4.955033779144287
3,e1',a1,attribute,0,-4.102494716644287
3,e1',a0',attribute,0,-3.2373881340026855
3,e1',a1',attribute,0,-7.211938381195068
3,e1',a0,attribute,1,-3.885460138320923
3,e1',a1,attribute,1,-5.107908248901367
3,e1',a0',attribute,1,-7.6366119384765625
3,e1',a1',attribute,1,-6.010383605957031
4,e0,a0,entity,0,-0.9549192190170288
4,e0,a1,entity,0,-2.408914089202881
4,e0,a0',entity,0,-9.384881019592285
4,e0,a1',entity,0,-9.408917427062988
4,e0,a0,entity,1,-1.1123137474060059
4,e0,a1,entity,1,-3.084399700164795
4,e0,a0',entity,1,-9.480093002319336
4,e0,a1',entity,1,-9.641716003417969
4,e0,a0,attribute,0,-1.721038579940796
4,e0,a1,attribute,0,-2.395003080368042
4,e0,a0',attribute,0,-2.9715993404388428
4,e0,a1',attribute,0,-8.42145824432373
4,e0,a0,attribute,1,-0.8437521457672119
4,e0,a1,attribute,1,-8.09270191192627
4,e0,a0',attribute,1,-10.437296867370605
4,e0,a1',attribute,1,-9.002172470092773
4,e1,a0,entity,0,-8.096749305725098
4,e1,a1,entity,0,-0.2934713065624237
4,e1,a0',entity,0,-9.748381614685059
4,e1,a1',entity,0,-9.802008628845215
4,e1,a0,entity,1,-6.926248073577881
4,e1,a1,entity,1,-0.565229058265686
4,e1,a0',entity,1,-9.312047958374023
4,e1,a1',entity,1,-9.549113273620605
4,e1,a0,attribute,0,-8.635886192321777
4,e1,a1,attribute,0,-0.39474353194236755
4,e1,a0',attribute,0,-6.170319080352783
4,e1,a1',attribute,0,-9.302152633666992
4,e1,a0,attribute,1,-5.78538179397583
4,e1,a1,attribute,1,-5.064034938812256
4,e1,a0',attribute,1,-8.992231369018555
4,e1,a1',attribute,1,-7.668527126312256
4,e0',a0,entity,0,-4.022923946380615
4,e0',a1,entity,0,-1.4215540885925293
4,e0',a0',entity,0,-6.187607288360596
4,e0',a1',entity,0,-8.222661972045898
4,e0',a0,entity,1,-4.359719276428223
4,e0',a1,entity,1,-1.2901058197021484
4,e0',a0',entity,1,-6.470620155334473
4,e0',a1',entity,1,-7.766714096069336
4,e0',a0,attribute,0,-6.020490646362305
4,e0',a1,attribute,0,-0.8559140563011169
4,e0',a0',attribute,0,-2.9987716674804688
4,e0',a1',attribute,0,-7.782488822937012
4,e0',a0,attribute,1,-3.6398487091064453
4,e0',a1,attribute,1,-3.6468610763549805
4,e0',a0',attribute,1,-6.837430000305176
4,e0',a1',attribute,1,-6.924821853637695
4,e1',a0,entity,0,-4.403170585632324
4,e1',a1,entity,0,-1.3352077007293701
4,e1',a0',entity,0,-5.759018898010254
4,e1',a1',entity,0,-7.328559875488281
4,e1',a0,entity,1,-5.099103927612305
4,e1',a1,entity,1,-0.8749648332595825
4,e1',a0',entity,1,-6.119570732116699
4,e1',a1',entity,1,-7.224551200866699
4,e1',a0,attribute,0,-5.935257911682129
4,e1',a1,attribute,0,-1.0304148197174072
