run,query_name,attribute,swap_type,swap_index,log_prob
0,e0,a0,entity,0,-5.782149314880371
0,e0,a1,entity,0,-6.306735992431641
0,e0,a0',entity,0,-10.150683403015137
0,e0,a1',entity,0,-9.004409790039062
0,e0,a0,entity,1,-6.057284832000732
0,e0,a1,entity,1,-6.780491352081299
0,e0,a0',entity,1,-11.425922393798828
0,e0,a1',entity,1,-10.308633804321289
0,e0,a0,attribute,0,-8.408549308776855
0,e0,a1,attribute,0,-4.223946571350098
0,e0,a0',attribute,0,-7.30251407623291
0,e0,a1',attribute,0,-9.252554893493652
0,e0,a0,attribute,1,-6.601025581359863
0,e0,a1,attribute,1,-11.290022850036621
0,e0,a0',attribute,1,-12.608935356140137
0,e0,a1',attribute,1,-6.527255058288574
0,e1,a0,entity,0,-8.13084602355957
0,e1,a1,entity,0,-3.685483455657959
0,e1,a0',entity,0,-10.764660835266113
0,e1,a1',entity,0,-9.469736099243164
0,e1,a0,entity,1,-6.181308746337891
0,e1,a1,entity,1,-5.676119327545166
0,e1,a0',entity,1,-10.36469841003418
0,e1,a1',entity,1,-8.748394012451172
0,e1,a0,attribute,0,-10.21943473815918
0,e1,a1,attribute,0,-2.9167449474334717
0,e1,a0',attribute,0,-8.59036922454834
0,e1,a1',attribute,0,-9.81075668334961
0,e1,a0,attribute,1,-7.089756965637207
0,e1,a1,attribute,1,-8.322898864746094
0,e1,a0',attribute,1,-10.542643547058105
0,e1,a1',attribute,1,-3.854123592376709
0,e0',a0,entity,0,-5.909560203552246
0,e0',a1,entity,0,-5.757169723510742
0,e0',a0',entity,0,-9.789661407470703
0,e0',a1',entity,0,-8.372143745422363
0,e0',a0,entity,1,-6.358753204345703
0,e0',a1,entity,1,-5.623912811279297
0,e0',a0',entity,1,-9.718854904174805
0,e0',a1',entity,1,-8.7728853225708
0,e0',a0,attribute,0,-8.374488830566406
0,e0',a1,attribute,0,-4.31117057800293
0,e0',a0',attribute,0,-7.899665832519531
0,e0',a1',attribute,0,-8.92513656616211
0,e0',a0,attribute,1,-5.993299961090088
0,e0',a1,attribute,1,-8.898844718933105
0,e0',a0',attribute,1,-10.103510856628418
0,e0',a1',attribute,1,-5.680339813232422
0,e1',a0,entity,0,-6.717909812927246
0,e1',a1,entity,0,-5.1566667556762695
0,e1',a0',entity,0,-10.15664005279541
0,e1',a1',entity,0,-7.997689247131348
0,e1',a0,entity,1,-7.653031349182129
0,e1',a1,entity,1,-6.170488357543945
0,e1',a0',entity,1,-9.362667083740234
0,e1',a1',entity,1,-8.218413352966309
0,e1',a0,attribute,0,-8.722780227661133
0,e1',a1,attribute,0,-4.075868129730225
0,e1',a0',attribute,0,-7.986814022064209
0,e1',a1',attribute,0,-8.580195426940918
0,e1',a0,attribute,1,-6.408933162689209
0,e1',a1,attribute,1,-8.561006546020508
0,e1',a0',attribute,1,-10.196566581726074
0,e1',a1',attribute,1,-4.861437797546387
1,e0,a0,entity,0,-2.7594428062438965
1,e0,a1,entity,0,-5.066342830657959
1,e0,a0',entity,0,-9.125272750854492
1,e0,a1',entity,0,-8.008322715759277
1,e0,a0,entity,1,-1.4511606693267822
1,e0,a1,entity,1,-5.528409004211426
1,e0,a0',entity,1,-9.957959175109863
1,e0,a1',entity,1,-9.49573802947998
1,e0,a0,attribute,0,-8.414116859436035
1,e0,a1,attribute,0,-4.760080337524414
1,e0,a0',attribute,0,-6.210209846496582
1,e0,a1',attribute,0,-8.623003959655762
1,e0,a0,attribute,1,-2.9164774417877197
1,e0,a1,attribute,1,-5.47584342956543
1,e0,a0',attribute,1,-9.365428924560547
1,e0,a1',attribute,1,-5.249855041503906
1,e1,a0,entity,0,-2.7186882495880127
1,e1,a1,entity,0,-4.478527069091797
1,e1,a0',entity,0,-9.495573997497559
1,e1,a1',entity,0,-9.307318687438965
1,e1,a0,entity,1,-2.225435495376587
1,e1,a1,entity,1,-4.346495628356934
1,e1,a0',entity,1,-8.893786430358887
1,e1,a1',entity,1,-8.094985961914062
1,e1,a0,attribute,0,-8.602242469787598
1,e1,a1,attribute,0,-3.4961373805999756
1,e1,a0',attribute,0,-6.436581611633301
1,e1,a1',attribute,0,-8.600485801696777
1,e1,a0,attribute,1,-3.7020320892333984
1,e1,a1,attribute,1,-4.88234806060791
1,e1,a0',attribute,1,-9.30506420135498
1,e1,a1',attribute,1,-4.441888809204102
1,e0',a0,entity,0,-2.1662075519561768
1,e0',a1,entity,0,-5.2359819412231445
1,e0',a0',entity,0,-8.631946563720703
1,e0',a1',entity,0,-8.112462043762207
1,e0',a0,entity,1,-2.616400957107544
1,e0',a1,entity,1,-4.951651573181152
1,e0',a0',entity,1,-8.819684028625488
1,e0',a1',entity,1,-7.918938636779785
1,e0',a0,attribute,0,-8.055630683898926
1,e0',a1,attribute,0,-4.992972373962402
1,e0',a0',attribute,0,-6.823820114135742
1,e0',a1',attribute,0,-8.073869705200195
1,e0',a0,attribute,1,-3.26912784576416
1,e0',a1,attribute,1,-5.802547454833984
1,e0',a0',attribute,1,-8.750959396362305
1,e0',a1',attribute,1,-4.641568183898926
1,e1',a0,entity,0,-2.2062156200408936
1,e1',a1,entity,0,-5.148501396179199
1,e1',a0',entity,0,-9.57632827758789
1,e1',a1',entity,0,-8.608250617980957
1,e1',a0,entity,1,-2.3391342163085938
1,e1',a1,entity,1,-4.779085159301758
1,e1',a0',entity,1,-8.132801055908203
1,e1',a1',entity,1,-7.975507736206055
1,e1',a0,attribute,0,-7.326846122741699
1,e1',a1,attribute,0,-4.21550178527832
1,e1',a0',attribute,0,-6.943706512451172
1,e1',a1',attribute,0,-8.142451286315918
1,e1',a0,attribute,1,-2.451606273651123
1,e1',a1,attribute,1,-5.220045566558838
1,e1',a0',attribute,1,-9.257762908935547
1,e1',a1',attribute,1,-4.987490177154541
2,e0,a0,entity,0,-4.628217697143555
2,e0,a1,entity,0,-5.416999816894531
2,e0,a0',entity,0,-7.443462371826172
